Date_UTC,Time_UTC,Date_CST,Time_CST,Lake_Visible,LES_Exist
20121017,1:00,20121016,19:00,N,N
20121017,2:00,20121016,20:00,N,N
20121017,3:00,20121016,21:00,N,N
20121017,4:00,20121016,22:00,N,N
20121017,5:00,20121016,23:00,N,N
20121017,6:00,20121017,0:00,N,N
20121017,7:00,20121017,1:00,N,N
20121017,8:00,20121017,2:00,N,N
20121017,9:00,20121017,3:00,N,N
20121017,10:00,20121017,4:00,N,N
20121017,11:00,20121017,5:00,N,N
20121017,12:00,20121017,6:00,N,N
20121017,13:00,20121017,7:00,N,N
20121017,14:00,20121017,8:00,N,N
20121017,15:00,20121017,9:00,Y,Y
20121017,16:00,20121017,10:00,Y,Y
20121017,17:00,20121017,11:00,Y,Y
20121017,18:00,20121017,12:00,Y,Y
20121017,19:00,20121017,13:00,Y,Y
20121017,20:00,20121017,14:00,Y,Y
20121017,21:00,20121017,15:00,Y,Y
20121017,22:00,20121017,16:00,Y,Y
20121017,23:00,20121017,17:00,Y,Y
20121018,0:00,20121017,18:00,N,N
20121018,1:00,20121017,19:00,N,N
20121018,2:00,20121017,20:00,N,N
20121018,3:00,20121017,21:00,N,N
20121018,4:00,20121017,22:00,N,N
20121018,5:00,20121017,23:00,N,N
20121018,6:00,20121018,0:00,N,N
20121018,7:00,20121018,1:00,N,N
20121018,8:00,20121018,2:00,N,N
20121018,9:00,20121018,3:00,N,N
20121018,10:00,20121018,4:00,N,N
20121018,11:00,20121018,5:00,N,N
20121018,12:00,20121018,6:00,N,N
20121018,13:00,20121018,7:00,N,N
20121018,14:00,20121018,8:00,N,N
20121018,15:00,20121018,9:00,Y,Y
20121018,16:00,20121018,10:00,Y,Y
20121018,17:00,20121018,11:00,Y,Y
20121018,18:00,20121018,12:00,Y,Y
20121018,19:00,20121018,13:00,Y,Y
20121018,20:00,20121018,14:00,Y,Y
20121018,21:00,20121018,15:00,Y,Y
20121018,22:00,20121018,16:00,Y,Y
20121018,23:00,20121018,17:00,Y,Y
20121019,0:00,20121018,18:00,N,N
20121019,1:00,20121018,19:00,N,N
20121019,2:00,20121018,20:00,N,N
20121019,3:00,20121018,21:00,N,N
20121019,4:00,20121018,22:00,N,N
20121019,5:00,20121018,23:00,N,N
